name,latitude,longitude,place_id,vicinity
SNDP BR NO 2130 PATTERIPURAM,10.0991515,76.3501124,ChIJPTakfzQPCDsRrS8IcyHcN34,"39X2+M29, Kunnathery Thikavu, Aluva"
Edakkattil Sree Dharmasastha Kshethram,10.1038075,76.3508401,ChIJz-YEyNkOCDsROrK50VAcjEM,"4932+G8G, Ernakulam Road, Aluva"
Thachanampara Sree Gouri Sankara Kshethram,10.0961572,76.36335729999999,ChIJ8c4HTs0OCDsRGYs79ok0yLs,"39W7+F89, Edayapuram, Aluva"
Sreenarayana Guru Mandapam,10.0932323,76.3532575,ChIJo_I3cs8OCDsR71e5rC-3sM0,"39V3+78R, Pipeline Road, Kunnathery Thikavu, Aluva"
Sri Radhakrishna Mandir,10.1007602,76.3488242,ChIJvyVqz9sOCDsRlHqbLfmM-sY,"482X+8G4, National Highway 544, Kunnathery Thikavu, Salem"
GSBY Samajam,10.1007404,76.3487323,ChIJv97WztsOCDsRYTT7AePAqRY,"482X+7FX, Ernakulam Road, Kunnathery Thikavu, Aluva"
Sannit Alayam,10.1083129,76.3548618,ChIJs5xVMigPCDsRKHguWY2wKQ0,"4953+8WH, Periyar Nagar, Aluva"
market VINAYAGAR KOVIL,10.1069361,76.3504727,ChIJVZWPc9gOCDsRtrm-_SuOveI,"4942+Q5H, Market Road, Periyar Nagar, Aluva"
Viswabrahma Vydeeka Vidyapeedam,10.1075822,76.3630093,ChIJBb5iV9UOCDsRwILcRjUteC4,"4957+26J, PWD Quarters, Periyar Nagar, Aluva"
Mynoottu Kaavu Vana Durga Mahadeva Temple,10.098166,76.346559,ChIJb_csWAAPCDsR6WytSvNyn-U,"38XW+7HF, Vevukattil Lane, Periyar Nagar Residential Association, Pulinchode, Kunnathery Thikavu, Kochi"
Mynottil Devi Temple,10.0981772,76.3464077,ChIJw3VandwOCDsRC7KuGi7MBd4,"38XW+7HF, Vevukattil Lane, Periyar Nagar Residential Association, Pulinchode, Kunnathery Thikavu, Kochi"
"Bhagavathy Temple, Chembakassery",10.1093738,76.3629989,ChIJb-4ywyoPCDsR8G19bLjoaP4,"4957+P5X, PWD Quarters, Periyar Nagar, Aluva"
Chambakasseri Durga Temple,10.1093859,76.3630388,ChIJkeS-RtUICDsRM6aNnP5KXNI,"4957+Q63, Chembakaserry Kadavu Road, PWD Quarters, Periyar Nagar, Aluva"
Perumbilli Sree Bhagavathy Temple,10.1113153,76.3567274,ChIJwR9BaSkPCDsRDP7e2zBegKY,"4964+GMH, Tass Road, Periyar Nagar, Aluva"
Mynottilkavu Kshetram,10.0983203,76.3460625,ChIJk1Ejg9wOCDsRiM_GdERnWUA,"38XW+8CG, Kunnathery Thikavu, Aluva"
Perekkat Bagavathy Temple,10.1099215,76.3501246,ChIJPRAhsycPCDsRWr0yLcfsgmI,"4952+X29, Periyar Nagar, Aluva"
Namba Mana kaavu,10.1009358,76.344611,ChIJpQxkQ_cPCDsRfpYnlIc88xE,"482V+9RH, Uliyannoor, Aluva"
"Kolattukavu Bhagavathy Temple, Edayappuram",10.0943576,76.3680043,ChIJyeFUPDIJCDsRfIxaweVTLUg,"39V9+P6R, Cherupillil Valley Road, Chunangamvely West, Erumathala West"
